Lines without spaces at the start are ignored
Everything is automatically converted to lowercase also

Recipes are formatted like this:
ItemName | Amount | Row 1 - Row 1 - Row 1 / Row 2 - Row 2 - Row 2 / Row 3 - Row 3 - Row 3
 Polished Andesite Stairs | 4 | Polished Andesite - - / Polished Andesite - Polished Andesite - / Polished Andesite - Polished Andesite - Polished Andesite
 Diorite Stairs | 4 | Diorite - - / Diorite - Diorite - / Diorite - Diorite - Diorite
 Polished Diorite Stairs | 4 | Polished Diorite - - / Polished Diorite - Polished Diorite - / Polished Diorite - Polished Diorite - Polished Diorite
 Granite Stairs | 4 | Granite - - / Granite - Granite - / Granite - Granite - Granite
 Polished Granite Stairs | 4 | Polished Granite - - / Polished Granite - Polished Granite - / Polished Granite - Polished Granite - Polished Granite
 Sandstone Stairs | 4 | Sandstone - - / Sandstone - Sandstone - / Sandstone - Sandstone - Sandstone
 Smooth Sandstone Stairs | 4 | Smooth Sandstone - - / Smooth Sandstone - Smooth Sandstone - / Smooth Sandstone - Smooth Sandstone - Smooth Sandstone
 Red Sandstone Stairs | 4 | Red Sandstone - - / Red Sandstone - Red Sandstone - / Red Sandstone - Red Sandstone - Red Sandstone
 Smooth Red Sandstone Stairs | 4 | Smooth Red Sandstone - - / Smooth Red Sandstone - Smooth Red Sandstone - / Smooth Red Sandstone - Smooth Red Sandstone - Smooth Red Sandstone
 Brick Stairs | 4 | Bricks - - / Bricks - Bricks - / Bricks - Bricks - Bricks
 Stone Brick Stairs | 4 | Stone Bricks - - / Stone Bricks - Stone Bricks - / Stone Bricks - Stone Bricks - Stone Bricks
 Mossy Stone Brick Stairs | 4 | Mossy Stone Bricks - - / Mossy Stone Bricks - Mossy Stone Bricks - / Mossy Stone Bricks - Mossy Stone Bricks - Mossy Stone Bricks
 Nether Brick Stairs | 4 | Nether Bricks - - / Nether Bricks - Nether Bricks - / Nether Bricks - Nether Bricks - Nether Bricks
 Red Nether Brick Stairs | 4 | Red Nether Bricks - - / Red Nether Bricks - Red Nether Bricks - / Red Nether Bricks - Red Nether Bricks- Red Nether Bricks
 Quartz Stairs | 4 | Block of Quartz - - / Block of Quartz - Block of Quartz - / Block of Quartz - Block of Quartz - Block of Quartz
 Smooth Quartz Stairs | 4 | Smooth Quartz - - / Smooth Quartz - Smooth Quartz - / Smooth Quartz - Smooth Quartz - Smooth Quartz
 Purpur Stairs | 4 | Purpur Block - - / Purpur Block - Purpur Block - / Purpur Block - Purpur Block - Purpur Block
 End Stone Brick Stairs | 4 | End Stone Bricks - - / End Stone Bricks - End Stone Bricks - / End Stone Bricks - End Stone Bricks - End Stone Bricks

 Cobblestone Wall | 6 | - - / Cobblestone - Cobblestone - Cobblestone / Cobblestone - Cobblestone - Cobblestone
 Mossy Cobblestone Wall | 6 | - - / Moss Stone - Moss Stone - Moss Stone / Moss Stone - Moss Stone - Moss Stone
 Andesite Wall | 6 | - - / Andesite - Andesite - Andesite / Andesite - Andesite - Andesite
 Granite Wall | 6 | - - / Granite - Granite - Granite / Granite - Granite - Granite
 Diorite Wall | 6 | - - / Diorite - Diorite - Diorite / Diorite - Diorite - Diorite
 Stone Brick Wall | 6 | - - / Stone Brick - Stone Brick - Stone Brick / Stone Brick - Stone Brick - Stone Brick
 Mossy Stone Brick Wall | 6 | - - / Mossy Stone Brick - Mossy Stone Brick - Mossy Stone Brick / Mossy Stone Brick - Mossy Stone Brick - Mossy Stone Brick
 Sandstone Wall | 6 | - - / Sandstone - Sandstone - Sandstone / Sandstone - Sandstone - Sandstone
 Red Sandstone Wall | 6 | - - / Red Sandstone - Red Sandstone - Red Sandstone / Red Sandstone - Red Sandstone - Red Sandstone
 Brick Wall | 6 | - - / Bricks - Bricks - Bricks / Bricks - Bricks - Bricks
 Nether Brick Wall | 6 | - - / Nether Bricks - Nether Bricks - Nether Bricks / Nether Bricks - Nether Bricks - Nether Bricks
 Red Nether Brick Wall | 6 | - - / Red Nether Bricks - Red Nether Bricks - Red Nether Bricks / Red Nether Bricks - Red Nether Bricks - Red Nether Bricks
 End Stone Brick Wall | 6 | - - / End Stone Bricks - End Stone Bricks - End Stone Bricks / End Stone Bricks - End Stone Bricks - End Stone Bricks
 Prismarine Wall | 6 | - - / Prismarine - Prismarine - Prismarine / Prismarine - Prismarine - Prismarine

 Snow Block,Snow | 1 | Snowball - Snowball / Snowball - Snowball
 Snow Layer | 6 | Snow - Snow - Snow
 Clay Block,Clay | 4 | Clay - Clay / Clay - Clay
 Bricks | 1 | Brick - Brick / Brick - Brick
 Stone Brick,Stone Bricks | 4 | Stone - Stone / Stone - Stone
 Chiseled Stone Brick,Chiseled Stone Bricks | 1 | Stone Brick Slab / Stone Brick Slab
 Mossy Stone Brick,Mossy Stone Bricks | 1 | Stone Brick - Vines
 Nether Brick,Nether Bricks | 1 | Nether Brick (item) - Nether Brick (item) / Nether Brick (item) - Nether Brick (item)
 Red Nether Brick,Red Nether Bricks | 1 | Nether Wart - Nether Brick (item) / Nether Brick (item) - Nether Wart
 Chiseled Nether Brick,Chiseled Nether Bricks | 1 | Nether Brick Slab / Nether Brick Slab
 End Stone Bricks | 4 | End Stone - End Stone / End Stone - End Stone
 Purpur Block | 4 | Popped Chorus Fruit - Popped Chorus Fruit / Popped Chorus Fruit - Popped Chorus Fruit
 Bone Block | 1 | Bone Meal - Bone Meal - Bone Meal / Bone Meal - Bone Meal - Bone Meal / Bone Meal - Bone Meal - Bone Meal
 Nether Wart Block | 1 | Nether Wart - Nether Wart - Nether Wart / Nether Wart - Nether Wart - Nether Wart / Nether Wart - Nether Wart - Nether Wart
 Magma Block | 1 | Magma Cream - Magma Cream / Magma Cream - Magma Cream

 Sandstone | 1 | Sand - Sand / Sand - Sand
 Smooth Sandstone | 4 | Sandstone - Sandstone / Sandstone - Sandstone
 Chiseled Sandstone | 1 | Sandstone Slab / Sandstone Slab
 Red Sandstone | 1 | Red Sand - Red Sand / Red Sand - Red Sand
 Smooth Red Sandstone | 4 | Red Sandstone - Red Sandstone / Red Sandstone - Red Sandstone
 Chiseled Red Sandstone | 1 | Red Sandstone Slab / Red Sandstone Slab
 Block of Quartz | 1 | Nether Quartz - Nether Quartz / Nether Quartz - Nether Quartz
 Pillar Quartz Block | 2 | Block of Quartz / Block of Quartz
 Chiseled Quartz Block | 1 | Quartz Slab / Quartz Slab
 Purpur Pillar | 1 | Purpur Slab / Purpur Slab
 End Rod | 4 | Blaze Rod / Popped Chorus Fruit
 Jack 'o' Lantern | 1 | Pumpkin / Torch
 Granite | 2 | Diorite - Nether Quartz
 Polished Granite | 4 | Granite - Granite / Granite - Granite
 Diorite | 2 | Cobblestone - Nether Quartz / Nether Quartz - Cobblestone
 Polished Diorite | 4 | Diorite - Diorite / Diorite - Diorite
 Andesite | 2 | Cobblestone - Doirite
 Polished Andesite | 4 | Andesite - Andesite / Andesite - Andesite
 Coarse Dirt | 4 | Dirt - Gravel / Gravel - Dirt
 Bone Meal | 9 | Bone Block
 Polished Basalt | 4 | Basalt - Basalt / Basalt - Basalt

 Ender Chest | 1 | Obsidian - Obsidian - Obsidian / Obsidian - Eye of Ender - Obsidian / Obsidian - Obsidian - Obsidian
 Anvil | 1 | Block of Iron - Block of Iron - Block of Iron / - Iron - / Iron - Iron - Iron
 Beacon | 1 | Glass - Glass - Glass / Glass - Nether Star - Glass / Obsidian - Obsidian - Obsidian
 Shulker Box | 1 | Shulker Shell / Chest / Shulker Shell

 Barrel | 1 | Wood Plank - Wood Slab - Wood Plank / Wood Plank - - Wood Plank / Wood Plank - Wood Slab - Wood Plank
 Blast Furnace | 1 | Iron - Iron - Iron / Iron - Furnace - Iron / Smooth Stone - Smooth Stone - Smooth Stone
 Campfire | 1 | - Stick - / Stick - Coal - Stick / Wood Log - Wood Log - Wood Log
 Soul Campfire | 1 | - Stick - / Stick - Soul Sand - Stick / Wood Log - Wood Log - Wood Log
 Cartography Table | 1 | Paper - Paper - / Wood Plank - Wood Plank - / Wood Plank - Wood Plank -
 Composter | 1 | Wood Fence - - Wood Fence / Wood Fence - - Wood Fence / Wood Plank - Wood Plank - Wood Plank
 Fletching Table | 1 | Flint - Flint - / Wood Plank - Wood Plank - / Wood Plank - Wood Plank -
 Grindstone | 1 | Stick - Stone Slab - Stick / Wood Plank - - Wood Plank
 Lectern | 1 | Wood Slab - Wood Slab - Wood Slab / - Bookshelf - / - Wood Slab -
 Loom | 1 | String - String / Wood Plank - Wood Plank
 Scaffolding | 6 | Bamboo - String - Bamboo / Bamboo - - Bamboo / Bamboo - - Bamboo
 Smithing Table | 1 | Iron - Iron - / Wood Plank - Wood Plank - / Wood Plank - Wood Plank -
 Smoker | 1 | - Wood - / Wood - Furnace - Wood / - Wood -
 Stonecutter | 1 | - Iron - / Stone - Stone - Stone
 Lodestone | 1 | Chiseled Stone Bricks - Chiseled Stone Bricks - Chiseled Stone Bricks / Chiseled Stone Bricks - Netherite - Chiseled Stone Bricks / Chiseled Stone Bricks - Chiseled Stone Bricks - Chiseled Stone Bricks
 Respawn Anchor | 1 | Crying Obsidian - Crying Obsidian - Crying Obsidian / Glowstone Block - Glowstone Block - Glowstone Block / Crying Obsidian - Crying Obsidian - Crying Obsidian 
 Target | 1 | - Redstone - / Redstone - Hay Bale - Redstone / - Redstone -

//////////////////////////
//Transportation recipes//
//////////////////////////

 Rail | 16 | Iron - - Iron / Iron - Stick - Iron / Iron - - Iron
 Activator Rail | 6 | Iron - Stick - Iron / Iron - Redstone Torch - Iron / Iron - Stick - Iron
 Powered Rail | 6 | Gold - - Gold / Gold - Stick - Gold / Gold - Redstone - Gold
 Detector Rail | 6 | Iron - - Iron / Iron - Stone Pressure Plate - Iron / Iron - Redstone - Iron
 Minecart | 1 | - - / Iron - - Iron / Iron - Iron - Iron
 Minecart with Chest,Chest Minecart | 1 | Chest / Minecart
 Minecart with Furnace,Furnace Minecart | 1 | Furnace / Minecart
 Minecart with Hopper,Hopper Minecraft | 1 | Hopper / Minecart
 Minecart with TNT,TNT Minecart | 1 | TNT / Minecart
 Carrot on a Stick | 1 | Fishing Rod / - Carrot
 Warped Fungus on a Stick | 1 | Fishing Rod - / - Warped Fungus
 Boat | 1 | - - / Wood Plank - - Wood Plank / Wood Plank - Wood Plank - Wood Plank

////////////////
//Tool recipes//
////////////////

 Wood Axe | 1 | Wood Plank - Wood Plank - / Wood Plank - Stick - / - Stick -
 Iron Axe | 1 | Iron - Iron - / Iron - Stick - / - Stick -
 Gold Axe | 1 | Gold - Gold - / Gold - Stick - / - Stick -
 Diamond Axe | 1 | Diamond - Diamond - / Diamond - Stick - / - Stick -
 Stone Axe | 1 | Cobblestone - Cobblestone - / Cobblestone - Stick - / - Stick -

 Wood Pickaxe | 1 | Wood Plank - Wood Plank - Wood Plank / - Stick - / - Stick -
 Iron Pickaxe | 1 | Iron - Iron - Iron / - Stick - / - Stick -
 Gold Pickaxe | 1 | Gold - Gold - Gold / - Stick - / - Stick -
 Diamond Pickaxe | 1 | Diamond - Diamond - Diamond / - Stick - / - Stick -
 Stone Pickaxe | 1 | Cobblestone - Cobblestone - Cobblestone / - Stick - / - Stick -

 Wood Shovel | 1 | Wood Plank / Stick / Stick
 Iron Shovel | 1 | Iron / Stick / Stick
 Gold Shovel | 1 | Gold / Stick / Stick
 Diamond Shovel | 1 | Diamond / Stick / Stick
 Stone Shovel | 1 | Cobblestone / Stick / Stick

 Wood Sword | 1 | - Wood Plank - / - Wood Plank - / - Stick -
 Iron Sword | 1 | - Iron - / - Iron - / - Stick -
 Gold Sword | 1 | - Gold - / - Gold - / - Stick -
 Diamond Sword | 1 | - Diamond - / - Diamond - / - Stick -
 Stone Sword | 1 | - Cobblestone - / - Cobblestone - / - Stick -

 Wood Hoe | 1 | Wood Plank - Wood Plank - / - Stick - / - Stick -
 Iron Hoe | 1 | Iron - Iron - / - Stick - / - Stick -
 Gold Hoe | 1 | Gold - Gold - / - Stick - / - Stick -
 Diamond Hoe | 1 | Diamond - Diamond - / - Stick - / - Stick -
 Stone Hoe | 1 | Cobblestone - Cobblestone - / - Stick - / - Stick -

 Flint and Steel | 1 | Iron - / - Flint
 Bucket | 1 | Iron - - Iron / - Iron -
 Compass | 1 | - Iron - / Iron - Redstone - Iron / - Iron -

 Map | 1 | Paper - Paper - Paper / Paper - Compass - Paper / Paper - Paper - Paper
 Map (zoomed out) | 1 | Paper - Paper - Paper / Paper - Map - Paper / Paper - Paper - Paper
 Clock | 1 | - Gold - / Gold - Redstone - Gold / - Gold -
 Fishing Rod | 1 | - - Stick / - Stick - String / Stick - - String
 Shears | 1 | - Iron / Iron -
 Fire Charge | 3 | Blaze Powder - Coal / - Gunpowder

 Bow | 1 | - Stick - String / Stick - - String / - Stick - String
 Crossbow | 1 | Stick - Iron - Stick / Sting - Tripwire Hook - String / - Stick -
 Arrow | 4 | Flint / Stick / Feather
 Spectral Arrow | 2 | - Glowstone Dust - / Glowstone Dust - Arrow - Glowstone Dust / - Glowstone Dust - 
 Tipped Arrow | 8 | Arrow - Arrow - Arrow / Arrow - Lingering Potion - Arrow / Arrow - Arrow - Arrow

 Shield,Sheild | 1 | Wood Plank - Iron - Wood Plank / Wood Plank - Wood Plank - Wood Plank / - Wood Plank - 

 Leather Helmet | 1 | Leather - Leather - Leather / Leather - - Leather
 Gold Helmet | 1 | Gold - Gold - Gold / Gold - - Gold
 Iron Helmet | 1 | Iron - Iron - Iron / Iron - - Iron
 Diamond Helmet | 1 | Diamond - Diamond - Diamond / Diamond - - Diamond

 Leather Leggings | 1 | Leather - Leather - Leather / Leather - - Leather / Leather - - Leather
 Gold Leggings | 1 | Gold - Gold - Gold / Gold - - Gold / Gold - - Gold
 Iron Leggings | 1 | Iron - Iron - Iron / Iron - - Iron / Iron - - Iron
 Diamond Leggings | 1 | Diamond - Diamond - Diamond / Diamond - - Diamond / Diamond - - Diamond

 Leather Chestplate | 1 | Leather - - Leather / Leather - Leather - Leather / Leather - Leather - Leather
 Gold Chestplate | 1 | Gold - - Gold / Gold - Gold - Gold / Gold - Gold - Gold
 Iron Chestplate | 1 | Iron - - Iron / Iron - Iron - Iron / Iron - Iron - Iron
 Diamond Chestplate | 1 | Diamond - - Diamond / Diamond - Diamond - Diamond / Diamond - Diamond - Diamond

 Leather Boots | 1 | Leather - - Leather / Leather - - Leather
 Gold Boots | 1 | Gold - - Gold / Gold - - Gold
 Iron Boots | 1 | Iron - - Iron / Iron - - Iron
 Diamond Boots | 1 | Diamond - - Diamond / Diamond - - Diamond

 Leather Horse Armor | 1 | Leather - - Leather / Leather - Leather - Leather / Leather - - Leather

/////////////////////
//Mechanism recipes//
/////////////////////

 Wooden Trapdoor,Trapdoor | 2 | - - / Wood Plank - Wood Plank - Wood Plank / Wood Plank - Wood Plank - Wood PLank
 Iron Trapdoor | 1 | Iron - Iron / Iron - Iron
 Wooden Pressure Plate,Pressure Plate | 1 | Wood Plank - Wood Plank
 Stone Pressure Plate | 1 | Stone - Stone
 Weighted Pressure Plate | 1 | Iron - Iron
 Weighted Pressure Plate (Gold) | 1 | Gold - Gold
 Stone Button,Button | 1 | Stone
 Wooden Button | 1 | Wood Plank
 Note Block | 1 | Wood Plank - Wood Plank - Wood Plank / Wood Plank - Redstone - Wood Plank / Wood Plank - Wood Plank - Wood Plank
 Jukebox | 1 | Wood Plank - Wood Plank - Wood Plank / Wood Plank - Diamond - Wood Plank / Wood Plank - Wood Plank - Wood Plank

 Dispenser | 1 | Cobblestone - Cobblestone - Cobblestone / Cobblestone - Bow - Cobblestone / Cobblestone - Redstone - Cobblestone
 Dropper | 1 | Cobblestone - Cobblestone - Cobblestone / Cobblestone - - Cobblestone / Cobblestone - Redstone - Cobblestone
 Piston | 1 | Wood Plank - Wood Plank - Wood Plank / Cobblestone - Iron - Cobblestone / Cobblestone - Redstone - Cobblestone
 Sticky Piston | 1 | Slimeball / Piston
 Redstone Lamp | 1 | - Redstone - / Redstone - Glowstone - Redstone / - Redstone -
 Redstone Torch | 1 | Redstone / Stick
 Lever | 1 | Stick / Cobblestone
 Tripwire Hook | 2 | - Iron - / - Stick - / - Wood Plank -
 Daylight Sensor | 1 | Glass - Glass - Glass / Nether Quartz - Nether Quartz - Nether Quartz / Wood Slab - Wood Slab - Wood Slab
 Hopper | 1 | Iron - - Iron / Iron - Chest - Iron / - Iron -

 Wood Door,Door | 3 | Wood Plank - Wood Plank / Wood Plank - Wood Plank / Wood Plank - Wood Plank
 Iron Door | 3 | Iron - Iron / Iron - Iron / Iron - Iron

 Redstone Repeater,Repeater | 1 | - - / Redstone Torch - Redstone - Redstone Torch / Stone - Stone - Stone
 Redstone Comparator,Comparator | 1 | - Redstone Torch - / Redstone Torch - Nether Quartz - Redstone Torch / Stone - Stone - Stone
 Observer | 1 | Cobblestone - Cobblestone - Cobblestone / Redstone - Redstone - Nether Quartz / Cobblestone - Cobblestone - Cobblestone 

////////////////
//Food recipes//
////////////////

 Bowl | 4 | - - / Wood Plank - - Wood Plank / - Wood Plank -
 Mushroom Stew | 1 | Red Mushroom - Brown Mushroom / - Bowl
 Rabbit Stew | 1 | - Cooked Rabbit - / Carrot - Baked Potato - Mushroom / - Bowl -
 Beetroot Soup | 1 | Beetroot - Beetroot - Beetroot / Beetroot - Beetroot - Beetroot / - Bowl -
 Suspicious Stew | 1 | Red Mushroom - Brown Mushroom / Bowl - Flower

 Bread | 1 | Wheat - Wheat - Wheat
 Sugar | 1 | Sugar Cane
 Cake | 1 | Milk - Milk - Milk / Sugar - Egg - Sugar / Wheat - Wheat - Wheat
 Cookie | 8 | Wheat - Cocoa Beans - Wheat
 Golden Apple | 1 | Gold - Gold - Gold / Gold - Apple - Gold / Gold - Gold - Gold
 Enchanted Golden Apple | 1 | Gold Block - Gold Block - Gold Block / Gold Block - Apple - Gold Block / Gold Block - Gold Block - Gold Block
 Melon Seeds | 1 | Melon
 Pumpkin Seeds | 4 | Pumpkin
 Pumpkin Pie | 1 | Egg - / Sugar - Pumpkin
 Hay Bale | 1 | Wheat - Wheat - Wheat / Wheat - Wheat - Wheat / Wheat - Wheat - Wheat
 Wheat | 9 | Hay Bale
 Golden Carrot | 1 | Gold Nugget - Gold Nugget - Gold Nugget / Gold Nugget - Carrot - Gold Nugget / Gold Nugget - Gold Nugget - Gold Nugget
 Baked Potato | 614 |jacob614 - / Furnace - Coal

/////////////////////////
//Miscellaneous recipes//
/////////////////////////

 Block of Gold,Gold Block | 1 | Gold - Gold - Gold / Gold - Gold - Gold / Gold - Gold - Gold
 Block of Iron,Iron Block | 1 | Iron - Iron - Iron / Iron - Iron - Iron / Iron - Iron - Iron
 Diamond Block | 1 | Diamond - Diamond - Diamond / Diamond - Diamond - Diamond / Diamond - Diamond - Diamond
 Lapis Lazuli Block | 1 | Lapis Lazuli - Lapis Lazuli - Lapis Lazuli / Lapis Lazuli - Lapis Lazuli - Lapis Lazuli / Lapis Lazuli - Lapis Lazuli - Lapis Lazuli
 Block of Emerald,Emerald Block | 1 | Emerald - Emerald - Emerald / Emerald - Emerald - Emerald / Emerald - Emerald - Emerald
 Block of Redstone,Redstone Block | 1 | Redstone - Redstone - Redstone / Redstone - Redstone - Redstone / Redstone - Redstone - Redstone
 Block of Coal,Coal Block | 1 | Coal - Coal - Coal / Coal - Coal - Coal / Coal - Coal - Coal
 Block of Netherite,Netherite block | 1 | Netherite - Netherite - Netherite / Netherite - Netherite - Netherite / Netherite - Netherite - Netherite
 Slime Block | 1 | Slimeball - Slimeball - Slimeball / Slimeball - Slimeball - Slimeball / Slimeball - Slimeball - Slimeball
 Melon Block,Melon | 1 | Melon - Melon - Melon /  Melon - Melon - Melon /  Melon - Melon - Melon

 Lead | 2 | String - String - / String - Slimeball - / - - String
 Ladder | 3 | Stick - - Stick / Stick - Stick - Stick / Stick - - Stick
 Glass Pane | 16 | Glass - Glass - Glass / Glass - Glass - Glass
 Iron Bars | 16 | - - / Iron - Iron - Iron / Iron - Iron - Iron 
 Wood Fence,Fence | 3 | - - / Wood Plank - Stick - Wood Plank / Wood Plank - Stick - Wood Plank
 Nether Brick Fence | 6 | - - / Nether Brick - Nether Brick - Nether Brick / Nether Brick - Nether Brick - Nether Brick
 Fence Gate,Gate | 1 | - - / Stick - Wood Plank - Stick / Stick - Wood Plank - Stick
 Moss Stone | 1 | Cobblestone - Vines

 Iron | 9 | Iron Block
 Gold | 9 | Gold Block
 Diamond | 9 | Block of Diamond
 Lapis Lazuli | 9 | Lapis Lazuli Block
 Emerald | 9 | Block of Emerald
 Redstone | 9 | Block of Redstone
 Coal | 9 | Block of Coal
 Slimeball | 9 | Slime Block

 Painting | 1 | Stick - Stick - Stick / Stick - Wool - Stick / Stick - Stick - Stick
 Item Frame | 1 | Stick - Stick - Stick / Stick - Leather - Stick / Stick - Stick - Stick
 Sign | 3 | Wood Plank - Wood Plank - Wood Plank / Wood Plank - Wood Plank - Wood Plank / - Stick -
 Armor Stand | 1 | Stick - Stick - Stick / - Stick - / Stick - Stone Slab - Stick

 Paper | 3 | Sugar Cane - Sugar Cane - Sugar Cane
 Book | 1 | Paper - Paper / Paper - Leather
 Book and Quill | 1 | Feather - / Ink Sac - Book
 Leather | 1 | Rabbit Hide - Rabbit Hide / Rabbit Hide - Rabbit Hide
 Bed | 1 | Wool - Wool - Wool / Wood Plank - Wood Plank - Wood Plank
 Bed (recolor) | 1 | Bed - Dye
 Gold | 1 | Gold Nugget - Gold Nugget - Gold Nugget / Gold Nugget - Gold Nugget - Gold Nugget / Gold Nugget - Gold Nugget - Gold Nugget
 Eye of Ender | 1 | Ender Pearl / Blaze Powder
 End Crystal | 1 | Glass - Glass - Glass / Glass - Eye of ender - Glass / Glass - Ghast Tear - Glass
 Flower Pot | 1 | - - / Brick - - Brick / - Brick -
 Banner | 1 | Wool - Wool - Wool / Wool - Wool - Wool / - Stick -

 Sea Lantern | 1 | Prismarine Shard - Prismarine Crystals - Prismarine Shard / Prismarine Crystals - Prismarine Crystals - Prismarine Crystals / Prismarine Shard - Prismarine Crystals - Prismarine Shard
 Prismarine | 1 | Prismarine Shard - Prismarine Shard / Prismarine Shard - Prismarine Shard
 Prismarine Brick | 1 | Prismarine Shard - Prismarine Shard - Prismarine Shard / Prismarine Shard - Prismarine Shard - Prismarine Shard / Prismarine Shard - Prismarine Shard - Prismarine Shard
 Dark Prismarine | 1 | Prismarine Shard - Prismarine Shard - Prismarine Shard / Prismarine Shard - Ink Sac - Prismarine Shard / Prismarine Shard - Prismarine Shard - Prismarine Shard

///////////////
//Dye recipes//
///////////////

 Bone Meal | 3 | Bone
 White Dye | 1 | Bone Meal
 White Dye (var.) | 1 | Lily of the Valley
 Light Gray Dye | 3 | White Dye / Black Dye - White Dye
